".getText()","Description: 
Period: Nightly
Length: 4.8"
".getText()","Description: 
Period: Nightly
Length: 4.8"
".getText()","Description: 
Period: Nightly
Length: 4.8"
".getText()","Description: 
Period: Nightly
Length: 4.8"
".getText()","Description: 
Period: Nightly
Length: 4.8"
".getText()","Description: 
Period: Nightly
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
"Intl News","Description: 
Period: Midday
Length: 4.8"
