"Local Temperatures","Description: 
Severity Rating: 7
Length: 4.8"
"Local Temperatures","Description: 
Severity Rating: 7
Length: 4.8"
"Season Views","Description: 
Severity Rating: 8
Length: 4.8"
"Season Views","Description: 
Severity Rating: 8
Length: 4.8"
"Season Views","Description: 
Severity Rating: 8
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
"World News","Description: 
Period: Morning
Length: 4.8"
